T	w(AL)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID)	w(SI@LIQUID)	dwdT_L(AL@FCC_A1)	dwdT_L(SI@FCC_A1)	dwdT_L(AL@LIQUID)	dwdT_L(SI@LIQUID)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	mole/mole	kg/kg	%	%	%	%	SI	SI	SI	SI				
510.9943155	97	3	0.9601078032	0.006925645039	86.65180342	13.34819658	53.80604472	46.19395528	0.2283670993	-0.2283670993	0	0	-510.9943155	0.006925645039	-235765.148648707	
508.4343155	97	3	0.9603872735	0.006915118913	86.5009215	13.4990785	53.57838139	46.42161861	0.2285530751	-0.2285530751	0	0	-508.4343155	0.006915118913	-252289.878561963	
505.8743155	97	3	0.9606644005	0.006905301591	86.34858287	13.65141713	53.35051975	46.64948025	0.2287521868	-0.2287521868	0	0	-505.8743155	0.006905301591	-271265.282803883	
503.3143155	97	3	0.9609392341	0.006896191606	86.19477075	13.80522925	53.12244661	46.87755339	0.2289645595	-0.2289645595	0	0	-503.3143155	0.006896191606	-280270.976151911	
502.0343155	97	3	0.961075754	0.003447447789	86.11730671	13.88269329	53.00832647	46.99167353	0.1150119188	-0.1150119188	0	0	-502.0343155	0.003447447789	-371.176207952618	
501.3943155	97	3	0.9611437337	0.00172326106	86.07843435	13.92156565	52.95124484	47.04875516	0.05797363833	-0.05797363833	0	0	-501.3943155	0.00172326106	-371.29087054444	
501.0743155	97	3	0.961177654	0.0008615206746	86.05896296	13.94103704	52.92269853	47.07730147	0.02943843174	-0.02943843174	0	0	-501.0743155	0.0008615206746	-1973556.90892255	
500.7543155	97	3	0.9612115375	0.0008613585613	86.03946805	13.96053195	52.89414853	47.10585147	0.02944224565	-0.02944224565	0	0	-500.7543155	0.0008613585613	-1973185.55407512	
500.5943155	97	3	0.9612284627	0.000430658252	86.02971176	13.97028824	52.87987259	47.12012741	0.01516869687	-0.01516869687	0	0	-500.5943155	0.000430658252	-6117192.84887735	
500.4343155	97	3	0.9612453805	0.0004306320978	86.01994958	13.98005042	52.86559526	47.13440474	0.01517014806	-0.01517014806	0	0	-500.4343155	0.0004306320978	-6116821.30578653	
500.3543155	97	3	0.9612538352	0.0002153240661	86.0150657	13.9849343	52.85845592	47.14154408	0.008031864831	-0.008031864831	0	0	-500.3543155	0.0002153240661	-4081969.32116447	
500.2743155	97	3	0.9612622882	0.0002153044695	86.01018093	13.98981907	52.85131667	47.14868333	0.008031807734	-0.008031807734	0	0	-500.2743155	0.0002153044695	-4081598.08974291	
500.2343155	97	3	0.961266513	0.0001076223234	86.0077383	13.9922617	52.84774686	47.15225314	0.004462284832	-0.004462284832	0	0	-500.2343155	0.0001076223234	-371.597129770749	
500.2143155	97	3	0.9612686251	5.381025607E-05	86.00651682	13.99348318	52.84596195	47.15403805	0.002677364051	-0.002677364051	0	0	-500.2143155	5.381025607E-05	-371.670085967021	
500.2043155	97	3	0.961269681	2.690489979E-05	86.00590605	13.99409395	52.8450695	47.1549305	0.001784904213	-0.001784904213	0	0	-500.2043155	2.690489979E-05	-804.883733350572	
500.1643155	97	3	0.9612739057	0.0001076576814	86.00346239	13.99653761	52.84149962	47.15850038	0.004462280675	-0.004462280675	0	0	-500.1643155	0.0001076576814	-2106.1498259549	
500.1443155	97	3	0.9612760169	5.380986431E-05	86.00224033	13.99775967	52.83971464	47.16028536	0.002677341447	-0.002677341447	0	0	-500.1443155	5.380986431E-05	97040643.1386023	
500.1043155	97	3	0.9612802411	0.0001076570631	85.99979619	14.00020381	52.83614488	47.16385512	0.004462285784	-0.004462285784	0	0	-500.1043155	0.0001076570631	742.935609227567	
500.0243155	97	3	0.9612886884	0.0002153110889	85.99490649	14.00509351	52.82900499	47.17099501	0.008032543579	-0.008032543579	0	0	-500.0243155	0.0002153110889	743.163849138775	
499.8643155	97	3	0.961305578	0.0004305821704	85.98512385	14.01487615	52.81472463	47.18527537	0.01517339502	-0.01517339502	0	0	-499.8643155	0.0004305821704	743.362809632809	
499.5443155	97	3	0.9613393376	0.0008609265756	85.96553969	14.03446031	52.78615993	47.21384007	0.02945737888	-0.02945737888	0	0	-499.5443155	0.0008609265756	743.692390312385	
498.9043155	97	3	0.9614067776	0.001721261729	85.92630029	14.07369971	52.72901999	47.27098001	0.05803287672	-0.05803287672	0	0	-498.9043155	0.001721261729	744.128783224345	
497.6243155	97	3	0.9615413477	0.00344032021	85.84753623	14.15246377	52.61469336	47.38530664	0.1152200604	-0.1152200604	0	0	-497.6243155	0.00344032021	745.043530633215	
495.0643155	97	3	0.9618092673	0.006872223805	85.68885945	14.31114055	52.3858472	47.6141528	0.2297406974	-0.2297406974	0	0	-495.0643155	0.006872223805	-381693.596786938	
492.5043155	97	3	0.9620749471	0.00686550367	85.52863632	14.47136368	52.1567322	47.8432678	0.2300106563	-0.2300106563	0	0	-492.5043155	0.00686550367	-431263.955877689	
489.9443155	97	3	0.9623385776	0.006860078628	85.36684924	14.63315076	51.92733441	48.07266559	0.230294577	-0.230294577	0	0	-489.9443155	0.006860078628	-509625.210429478	
487.3843155	97	3	0.9626002025	0.006855359343	85.20348037	14.79651963	51.69763975	48.30236025	0.23059266	-0.23059266	0	0	-487.3843155	0.006855359343	-594156.308841988	
484.8243155	97	3	0.9628598649	0.00685134748	85.03851168	14.96148832	51.4676339	48.5323661	0.2309050948	-0.2309050948	0	0	-484.8243155	0.00685134748	-713223.957440078	
482.2643155	97	3	0.963117607	0.006848044539	84.87192498	15.12807502	51.23730241	48.76269759	0.2312320607	-0.2312320607	0	0	-482.2643155	0.006848044539	-894143.345563192	
