T	w(AL)	w(MG)	w(SI)	fs	fw(@FCC_A1)	w(AL@FCC_A1)	w(MG@FCC_A1)	w(SI@FCC_A1)	w(AL@LIQUID#1)	w(MG@LIQUID#1)	w(SI@LIQUID#1)	w(AL@LIQUID#2)	w(MG@LIQUID#2)	w(SI@LIQUID#2)	dwdT_L(AL@LIQUID#1)	dwdT_L(MG@LIQUID#1)	dwdT_L(SI@LIQUID#1)	dwdT_L(AL@LIQUID#2)	dwdT_L(MG@LIQUID#2)	dwdT_L(SI@LIQUID#2)	-T	fw(@FCC_A1)_1	-T//fw(@FCC_A1)	
K	%	%	%	mole/mole	kg/kg	%	%	%	%	%	%	%	%	%	SI	SI	SI	SI	SI	SI				
635.8520389	89	1	10	0.7877755458	0.00991460107	92.68140559	0.03474007641	7.28385433	58.82236317	4.098267754	37.07936908				0	0	0				-635.8520389	0.00991460107	-79621.7631594336	
633.2920389	89	1	10	0.7898883385	0.009883504019	92.58843445	0.03331944593	7.378246107	58.48529277	4.138846793	37.37586044				0	0	0				-633.2920389	0.009883504019	-85697.3022053165	
630.7320389	89	1	10	0.7919740688	0.009854683203	92.49453094	0.03193506105	7.473534	58.14679409	4.179724134	37.67348178				0	0	0				-630.7320389	0.009854683203	-92810.5562748864	
628.1720389	89	1	10	0.7940336042	0.009828149249	92.39967924	0.03058688725	7.569733873	57.80679663	4.22090961	37.97229376				0	0	0				-628.1720389	0.009828149249	-101269.698573744	
625.6120389	89	1	10	0.7960677903	0.009803916874	92.303863	0.02927485337	7.666862143	57.46522718	4.26241349	38.27235933				0	0	0				-625.6120389	0.009803916874	-111519.218307817	
623.0520389	89	1	10	0.7980774523	0.009782005068	92.20706533	0.02799885252	7.76493582	57.12200965	4.304246509	38.57374384				0	0	0				-623.0520389	0.009782005068	-124225.210573763	
620.4920389	89	1	10	0.800063396	0.00976243732	92.10926871	0.02675874293	7.863972543	56.77706479	4.346419894	38.87651531				0	0	0				-620.4920389	0.00976243732	-140434.335038073	
617.9320389	89	1	10	0.8020264095	0.009745241856	92.01045502	0.02555434884	7.963990629	56.43031005	4.388945406	39.18074454				0	0	0				-617.9320389	0.009745241856	-161894.152646331	
615.3720389	89	1	10	0.8039672644	0.009730451926	91.91060542	0.02438546147	8.065009115	56.08165928	4.431835371	39.48650535				0	0	0				-615.3720389	0.009730451926	-191767.491679532	
612.8120389	89	1	10	0.8058867173	0.009718106116	91.80970035	0.02325183996	8.167047814	55.73102247	4.47510272	39.79387481				0	0	0				-612.8120389	0.009718106116	-236463.834600644	
610.2520389	89	1	10	0.807785511	0.009708248713	91.70771942	0.02215321234	8.270127367	55.37830549	4.518761039	40.10293347				0	0	0				-610.2520389	0.009708248713	-311406.417309727	
607.6920389	89	1	10	0.8096643755	0.009700930105	91.60464141	0.02108927653	8.374269313	55.02340973	4.562824611	40.41376566				0	0	0				-607.6920389	0.009700930105	-510665.257743808	
605.1320389	89	1	10	0.8115240872	0.009696690665	91.50044602	0.02005969673	8.479494284	54.6662398	4.607305723	40.72645448				0	0	0				-605.1320389	0.009696690665	-1114466.97611646	
602.5720389	89	1	10	0.8133653248	0.009694785762	91.39510597	0.01906411568	8.585829914	54.30667539	4.652223211	41.0411014				0	0	0				-602.5720389	0.009694785762	6538352.95262506	
600.0120389	89	1	10	0.8151887673	0.009695501512	91.28859917	0.01810215004	8.693298677	53.94460665	4.697593224	41.35780012				0	0	0				-600.0120389	0.009695501512	3096171.19369649	
597.4520389	89	1	10	0.8169951093	0.009699034092	91.18090016	0.01717338776	8.80192645	53.57991343	4.743433374	41.6766532				0	0	0				-597.4520389	0.009699034092	608797.92086708	
594.8920389	89	1	10	0.8187850398	0.009705473375	91.07198218	0.01627739196	8.911740431	53.212469	4.789762291	41.99776871				0	0	0				-594.8920389	0.009705473375	346263.437193036	
